handle,score,status,posts_seen,valuable_posts
"@xyz_nokaze_1",8.4,"active",1,1
"@yoko_mirakuru39",8.4,"active",1,1
"@yuzupoon_sub",8.4,"active",1,1
"@f_sadxn",8.3,"active",2,2
"@okn98",8.3,"active",2,2
"@tanpakushitsu06",8.3,"active",2,2
"@25momomomo",7.8,"active",2,2
"@77lunablack77",7.8,"active",2,2
"@bbcf_yanshu",7.8,"active",2,2
"@bon_odorer",7.8,"active",2,2
"@grenade_htn",7.8,"active",2,2
"@gunmaachichi",7.8,"active",2,2
"@gzupbi",7.8,"active",2,2
"@vvknkkswkkvv",7.8,"active",2,2
"@z_yo_to18",7.8,"active",2,2
"@kuzunavi",7.7,"trusted",10,5
"@wadaikoch",7.422,"trusted",9,8
"@01nk08123",7.4,"active",1,1
"@0527kuko",7.4,"active",1,1
"@16dgzte",7.4,"active",1,1
"@1diuqppfsr77773",7.4,"active",1,1
"@1nijflphpx80848",7.4,"active",1,1
"@1ponzu",7.4,"active",1,1
"@2j3eu",7.4,"active",1,1
"@33ytm",7.4,"active",1,1
"@504buddy1090",7.4,"active",1,1
"@5dtbfo3edaba8i0",7.4,"active",1,1
"@6icqpwi6tj86131",7.4,"active",1,1
"@7iris31",7.4,"active",1,1
"@888yamata",7.4,"active",1,1
"@9_hiropon",7.4,"active",1,1
"@9sh18n_",7.4,"active",1,1
"@__3l0msly",7.4,"active",1,1
"@___oimochan_",7.4,"active",1,1
"@_px0u0xq_",7.4,"active",1,1
"@_renaily_",7.4,"active",1,1
"@a0gaerun",7.4,"active",1,1
"@a26mt28",7.4,"active",1,1
"@agom_atm",7.4,"active",1,1
"@aka_no_ragunaru",7.4,"active",1,1
"@akago_3",7.4,"active",1,1
"@akimi0227",7.4,"active",1,1
"@ame_ponkotsu",7.4,"active",1,1
"@ami51187714",7.4,"active",1,1
"@aneno_kanako",7.4,"active",1,1
"@another001",7.4,"active",1,1
"@ariririn5",7.4,"active",1,1
"@asl_s0uta",7.4,"active",1,1
"@at_he_",7.4,"active",1,1
"@babumin_bauo",7.4,"active",1,1
"@baitsa_1217",7.4,"active",1,1
"@banzou7283",7.4,"active",1,1
"@batak0n_cos",7.4,"active",1,1
"@bbbh__y",7.4,"active",1,1
"@be_ko_fu_ku",7.4,"active",1,1
"@bunbinstik",7.4,"active",1,1
"@c_kmzg",7.4,"active",1,1
"@calcutta_bombay",7.4,"active",1,1
"@carbide_crayon",7.4,"active",1,1
"@career_mayu",7.4,"active",1,1
"@celly_cecilia",7.4,"active",1,1
"@chanchan_mammy",7.4,"active",1,1
"@cloudcorvus",7.4,"active",1,1
"@coco_poo801",7.4,"active",1,1
"@concerta_arai",7.4,"active",1,1
"@copi_mameya",7.4,"active",1,1
"@cr05975737",7.4,"active",1,1
"@create_maron",7.4,"active",1,1
"@crossheart_1_",7.4,"active",1,1
"@dessincro_teiki",7.4,"active",1,1
"@djlzr4230",7.4,"active",1,1
"@dqnta2",7.4,"active",1,1
"@eipi_yoon",7.4,"active",1,1
"@eminoemily",7.4,"active",1,1
"@erina_sport",7.4,"active",1,1
"@evssmc25",7.4,"active",1,1
"@ezoohkami1",7.4,"active",1,1
"@f_p88_",7.4,"active",1,1
"@fdclumt7zwcw5qu",7.4,"active",1,1
"@fizzbuzz_",7.4,"active",1,1
"@fudokihani",7.4,"active",1,1
"@furoria_0804",7.4,"active",1,1
"@furyaa_nu",7.4,"active",1,1
"@gakigao_heichou",7.4,"active",1,1
"@gamechanger_m",7.4,"active",1,1
"@gashikashi1567",7.4,"active",1,1
"@gekikara_45",7.4,"active",1,1
"@gekkanjushoku",7.4,"active",1,1
"@genki_takahashi",7.4,"active",1,1
"@gokajago",7.4,"active",1,1
"@gork",7.4,"active",1,1
"@guchi_ovh",7.4,"active",1,1
"@gutti1973",7.4,"active",1,1
"@hachita_78",7.4,"active",1,1
"@happytime1010a",7.4,"active",1,1
"@haru_alf",7.4,"active",1,1
"@harusawasansan",7.4,"active",1,1
"@hhtm_2k",7.4,"active",1,1
"@hikaruxyuka",7.4,"active",1,1
"@hikorow",7.4,"active",1,1
"@hikoukimono",7.4,"active",1,1
"@hirojiyama46529",7.4,"active",1,1
"@hisa910615533",7.4,"active",1,1
"@hiyu_huone",7.4,"active",1,1
"@hotate_gai",7.4,"active",1,1
"@hyper_omochi",7.4,"active",1,1
"@i7qvpl444pppilp",7.4,"active",1,1
"@ice_breaker04",7.4,"active",1,1
"@iidenmania6916",7.4,"active",1,1
"@ijwxhj",7.4,"active",1,1
"@ika_ikaruga",7.4,"active",1,1
"@ikyokuex",7.4,"active",1,1
"@imaimsak",7.4,"active",1,1
"@inoheadcrew_3g",7.4,"active",1,1
"@iql53",7.4,"active",1,1
"@ishijimahideki",7.4,"active",1,1
"@iwapic",7.4,"active",1,1
"@jaga_binchoutan",7.4,"active",1,1
"@jirojirojiro_26",7.4,"active",1,1
"@jlfpikh04w4t4kr",7.4,"active",1,1
"@johnnyonochan",7.4,"active",1,1
"@jojo04411885139",7.4,"active",1,1
"@k5ayhulvh930407",7.4,"active",1,1
"@kag_99",7.4,"active",1,1
"@kaichou48000",7.4,"active",1,1
"@kakubari5426",7.4,"active",1,1
"@kanakusa7fairu",7.4,"active",1,1
"@kaorintype2",7.4,"active",1,1
"@kaoru14499",7.4,"active",1,1
"@kaoru6732",7.4,"active",1,1
"@kasteira014",7.4,"active",1,1
"@keysechi0niiyan",7.4,"active",1,1
"@kf44red",7.4,"active",1,1
"@kiikii710",7.4,"active",1,1
"@kiki_san_panpas",7.4,"active",1,1
"@kikiki__kp",7.4,"active",1,1
"@kinetict6",7.4,"active",1,1
"@kino_qfm5",7.4,"active",1,1
"@kinoko3670",7.4,"active",1,1
"@kira__1806",7.4,"active",1,1
"@kirichanvipvip",7.4,"active",1,1
"@kochirakosomari",7.4,"active",1,1
"@kotatugame",7.4,"active",1,1
"@kotorisha",7.4,"active",1,1
"@kouyan_yutori",7.4,"active",1,1
"@kskscope0718",7.4,"active",1,1
"@kt_bess",7.4,"active",1,1
"@kuroka49093059",7.4,"active",1,1
"@kusobye2forever",7.4,"active",1,1
"@kutsushita_nai2",7.4,"active",1,1
"@l0_mo1",7.4,"active",1,1
"@laugh_gk",7.4,"active",1,1
"@le_messianique",7.4,"active",1,1
"@lsqoo35",7.4,"active",1,1
"@m56677713",7.4,"active",1,1
"@mamimami298",7.4,"active",1,1
"@mao_goddem",7.4,"active",1,1
"@maorindera",7.4,"active",1,1
"@mappoko1",7.4,"active",1,1
"@maru__dai",7.4,"active",1,1
"@marulikeapple1",7.4,"active",1,1
"@masato_c504",7.4,"active",1,1
"@mayumiyoshioka",7.4,"active",1,1
"@melavftm",7.4,"active",1,1
"@meme_mika_meme",7.4,"active",1,1
"@mhm092121",7.4,"active",1,1
"@micoro18",7.4,"active",1,1
"@mikan_1756",7.4,"active",1,1
"@minamimuki_____",7.4,"active",1,1
"@minasanchibaroh",7.4,"active",1,1
"@miracle_donburi",7.4,"active",1,1
"@miyuhosaki",7.4,"active",1,1
"@mkmkdeeedenaide",7.4,"active",1,1
"@mo2246r",7.4,"active",1,1
"@momota186cm_psa",7.4,"active",1,1
"@moon358s",7.4,"active",1,1
"@mtfuji_3667",7.4,"active",1,1
"@murasaki141414",7.4,"active",1,1
"@muscle3456",7.4,"active",1,1
"@myotoo",7.4,"active",1,1
"@naonow_1221",7.4,"active",1,1
"@naru__yuki_cos",7.4,"active",1,1
"@nb_rady",7.4,"active",1,1
"@nekotaro_5",7.4,"active",1,1
"@newjk225",7.4,"active",1,1
"@nichipug",7.4,"active",1,1
"@nika_love86",7.4,"active",1,1
"@niyata2807",7.4,"active",1,1
"@no__no4",7.4,"active",1,1
"@nt_gon",7.4,"active",1,1
"@nu_nu_ac6",7.4,"active",1,1
"@nuumerauumera",7.4,"active",1,1
"@nyam60670864",7.4,"active",1,1
"@nyannyantar",7.4,"active",1,1
"@nyantokonyan_2",7.4,"active",1,1
"@odorururu_com",7.4,"active",1,1
"@ohanaaroma",7.4,"active",1,1
"@okmrtrsb",7.4,"active",1,1
"@omochihand",7.4,"active",1,1
"@otonaninarouyo8",7.4,"active",1,1
"@oxx0409xxo",7.4,"active",1,1
"@oyjl5hluz0dsiu3",7.4,"active",1,1
"@pepekekeko",7.4,"active",1,1
"@photo_hitotoki2",7.4,"active",1,1
"@pitoomiere2222",7.4,"active",1,1
"@pk_none22",7.4,"active",1,1
"@ponyo__1108",7.4,"active",1,1
"@psr861",7.4,"active",1,1
"@puni_2",7.4,"active",1,1
"@qno478",7.4,"active",1,1
"@qtjittan",7.4,"active",1,1
"@ramunesanteam",7.4,"active",1,1
"@reo12345reo",7.4,"active",1,1
"@rion_skrnb",7.4,"active",1,1
"@robekuro",7.4,"active",1,1
"@saisai000ttt",7.4,"active",1,1
"@sakekureman",7.4,"active",1,1
"@salk12042",7.4,"active",1,1
"@san08298947",7.4,"active",1,1
"@san5eit88er",7.4,"active",1,1
"@satsushix",7.4,"active",1,1
"@sena1054799",7.4,"active",1,1
"@sepg1996",7.4,"active",1,1
"@shimaenarr",7.4,"active",1,1
"@shune_shune_pop",7.4,"active",1,1
"@sige78",7.4,"active",1,1
"@silphmania",7.4,"active",1,1
"@sio4534yosi",7.4,"active",1,1
"@sirabano",7.4,"active",1,1
"@six_ff610",7.4,"active",1,1
"@sn___iwadate",7.4,"active",1,1
"@snow666952",7.4,"active",1,1
"@sntn25",7.4,"active",1,1
"@sphere_taketatu",7.4,"active",1,1
"@strong_ichigo",7.4,"active",1,1
"@sumiteume",7.4,"active",1,1
"@surota820",7.4,"active",1,1
"@sutesan_teeki",7.4,"active",1,1
"@sweet_mii4",7.4,"active",1,1
"@t051shi11869",7.4,"active",1,1
"@takatorahyougo",7.4,"active",1,1
"@takosanerisan",7.4,"active",1,1
"@tamotsunarita",7.4,"active",1,1
"@tatsurokashi",7.4,"active",1,1
"@tdo9vk",7.4,"active",1,1
"@techi_baby11",7.4,"active",1,1
"@tis__0818",7.4,"active",1,1
"@tk9ma_",7.4,"active",1,1
"@tmgtttttttt",7.4,"active",1,1
"@tn9415831350045",7.4,"active",1,1
"@to_tax_ij",7.4,"active",1,1
"@tokyosky_634m",7.4,"active",1,1
"@toma0hana",7.4,"active",1,1
"@tomy_zaurus",7.4,"active",1,1
"@totemo_atuiyo",7.4,"active",1,1
"@tritongurashi",7.4,"active",1,1
"@tsuichang00555",7.4,"active",1,1
"@tsukimi1127",7.4,"active",1,1
"@tsunpoblo",7.4,"active",1,1
"@tyak5cs",7.4,"active",1,1
"@udnweappear304",7.4,"active",1,1
"@ugo_vrc",7.4,"active",1,1
"@ul_l7fl",7.4,"active",1,1
"@utsui6123",7.4,"active",1,1
"@wa0ewdwztoq0axj",7.4,"active",1,1
"@wanchan_waffle",7.4,"active",1,1
"@watari_wata",7.4,"active",1,1
"@wilderchicken",7.4,"active",1,1
"@wonder_iso",7.4,"active",1,1
"@xlxax0",7.4,"active",1,1
"@xmaki444230",7.4,"active",1,1
"@ya2786663",7.4,"active",1,1
"@yacan_12",7.4,"active",1,1
"@yamakatu2611",7.4,"active",1,1
"@yamanosirokuma",7.4,"active",1,1
"@yasuguraharuto",7.4,"active",1,1
"@yk5cvb",7.4,"active",1,1
